"table","feilds"
"REALTIME.RT_CRHKH_CRH_SBC_ACCEPTANCE","SUBMIT_DATE_TIME,CLIENT_NAME,SUB_BUSINFLOW_NO,FUND_ACCOUNT,SUB_BUSINFLOW_DETAIL,OP_BRANCH_NO,REQUEST_NO,STATUS,CREATE_DATE,BRANCH_NO,SUB_SERIAL_NO,CREATE_TIME,BUSINFLOW_NO"
"REALTIME.RT_CRHKH_CRH_HIS_HIS_BUSINFLOWRECORD","REQUEST_NO,BUSINESS_FLAG,USER_ID,CURR_DATETIME,BUSINESS_REMARK"
"REALTIME.RT_CRHKH_CRH_SUIT_SUBPRODSUITINFO","SUB_PROD_NAME,SUB_PROD_CODE,IS_SUIT,END_DATETIME,BEGIN_DATETIME,TA_CODE"
"REALTIME.RT_CRHKH_CRH_WSKH_CLOUDSHARERECORD","REQUEST_NO,RECOMMENDER,CHANNEL_CODE,SOURCE_KIND"
"REALTIME.RT_CRHKH_CRH_WSKH_WSKHEXTENDRECORD","REQUEST_NO,BUSINESS_FLAG,CURR_DATETIME"
"STAGING.CRHKH_CRH_USER_ALLBRANCH","BRANCH_NO,BRANCH_NAME"
"REALTIME.RT_CRHKH_CRH_SUIT_PRODSUITINFO","PRODUCT_FLAG,PROD_NAME,TA_CODE"
"REALTIME.RT_CRHKH_CRH_USER_BUSINFLOWAUDITRECORD","REQUEST_NO,BUSINESS_FLAG,AUDIT_REMARK,AUDIT_STATUS,AUDITOR_NAME,AUDIT_BATCH_NO,CURR_DATETIME"
"REALTIME.RT_CRHKH_CRH_USER_BUSINFLOWRECORD","REQUEST_NO,BUSINESS_FLAG,USER_ID,CURR_DATETIME,BUSINESS_REMARK"
"REALTIME.RT_CRHKH_CRH_WSKH_PHONEREVISIT","REQUEST_NO,STATUS,UPDATE_DATETIME,REMARK,OPERATOR_NAME"
"REALTIME.RT_CRHKH_CRH_WSKH_USERQUERYEXTINFO","ID_NO,RECOMMENDER,BUSINESS_FLAG_LAST,CLIENT_NAME,ACTIVE_DATETIME,AUDIT_BATCH_NO,USER_ID,REQUEST_DATETIME,MOBILE_TEL,FUND_ACCOUNT,REQUEST_STATUS,CHANNEL_CODE,REQUEST_NO,CUNTER_DATETIME,BANK_ACCOUNT,ID_KIND,BRANCH_NO,BROKER_CODE,LAST_UPDATE_DATETIME"
"REALTIME.RT_CRHKH_CRH_WSKH_PHONEREVISITLOG","CREATE_DATETIME,REQUEST_NO,STATUS,REMARK"
"REALTIME.RT_CRHKH_CRH_USER_BASEDICTIONARY","DICT_ENTRY,DICT_PROMPT,SUBENTRY"
"STAGING.CRHKH_CRH_HIS_HIS_AUDITRECORD","REQUEST_NO,CREATE_DATE,OP_REMARK,ANODE_ID,OPERATOR_STATUS,CREATE_TIME,OPERATOR_TYPE"
"STAGING.CRHKH_CRH_HIS_HIS_ACCEPTANCE","SUBMIT_DATE_TIME,CLIENT_NAME,SUB_BUSINFLOW_NO,FUND_ACCOUNT,SUB_BUSINFLOW_DETAIL,OP_BRANCH_NO,REQUEST_NO,STATUS,CREATE_DATE,BRANCH_NO,SUB_SERIAL_NO,CREATE_TIME,BUSINFLOW_NO"
"REALTIME.RT_CRHKH_CRH_HIS_HIS_BUSINFLOWAUDITRECORD","REQUEST_NO,BUSINESS_FLAG,AUDIT_REMARK,AUDITOR_NAME,CURR_DATETIME"
"REALTIME.RT_CRHKH_CRH_WSKH_CHANNELDEFINE","CHANNEL_CODE,CHANNEL_NAME"
"REALTIME.RT_CRHKH_CRH_SBC_AUDITRECORD","REQUEST_NO,CREATE_DATE,OP_REMARK,ANODE_ID,OPERATOR_STATUS,CREATE_TIME,OPERATOR_TYPE"
"REALTIME.RT_CRHKH_CRH_USER_SYSBUSINESS","BUSINESS_FLAG,BUSINESS_NAME"
